time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2025-06-27 23:07:01,-115.1847,36.0472, 930.3,  698, 32.8, -7.4, -6.6,  7,  7, 2.36,231, 1.4
2025-06-27 23:07:02,-115.1847,36.0472, 929.6,  705, 33.3, -7.8, -6.9,  7,  7, 2.30,190, 7.7
2025-06-27 23:07:03,-115.1847,36.0473, 928.8,  713, 33.8, -8.1, -7.2,  6,  6, 2.24,190, 7.7
2025-06-27 23:07:04,-115.1847,36.0474, 928.0,  720, 34.3, -8.5, -7.5,  6,  6, 2.18,190, 7.7
2025-06-27 23:07:05,-115.1846,36.0475, 927.3,  728, 34.8, -8.9, -7.9,  6,  6, 2.11,190, 7.6
2025-06-27 23:07:06,-115.1846,36.0476, 926.5,  735, 35.3, -9.4, -8.3,  5,  5, 2.03,190, 7.6
2025-06-27 23:07:07,-115.1846,36.0477, 925.7,  743, 35.8, -9.9, -8.8,  5,  5, 1.95,190, 7.6
2025-06-27 23:07:08,-115.1846,36.0478, 924.9,  752, 36.4,-10.8, -9.6,  4,  4, 1.81,190, 7.5
2025-06-27 23:07:09,-115.1846,36.0478, 924.6,  755, 36.4,-10.8, -9.6,  4,  4, 1.82,190, 7.5
2025-06-27 23:07:10,-115.1846,36.0479, 924.0,  760, 36.2,-10.7, -9.5,  4,  4, 1.83,191, 7.4
2025-06-27 23:07:11,-115.1846,36.0480, 923.5,  765, 36.1,-10.7, -9.5,  5,  5, 1.84,191, 7.3
2025-06-27 23:07:12,-115.1845,36.0481, 922.9,  770, 36.0,-10.6, -9.4,  5,  5, 1.85,191, 7.2
2025-06-27 23:07:13,-115.1845,36.0482, 922.4,  776, 35.9,-10.5, -9.4,  5,  5, 1.86,191, 7.1
2025-06-27 23:07:14,-115.1845,36.0483, 921.8,  781, 35.8,-10.5, -9.3,  5,  5, 1.87,191, 7.0
2025-06-27 23:07:15,-115.1845,36.0484, 921.3,  786, 35.7,-10.4, -9.3,  5,  5, 1.88,192, 6.9
2025-06-27 23:07:16,-115.1845,36.0484, 920.8,  791, 35.6,-10.4, -9.2,  5,  5, 1.89,192, 6.8
2025-06-27 23:07:17,-115.1845,36.0485, 920.3,  796, 35.5,-10.3, -9.2,  5,  5, 1.90,191, 6.8
