time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2025-06-05 23:02:51,-115.1847,36.0471, 929.0,  698, 31.0,  2.3,  2.3, 16, 16, 4.87,127, 5.1
2025-06-05 23:02:52,-115.1848,36.0471, 928.1,  706, 30.9,  2.8,  2.8, 17, 17, 5.03,143, 1.9
2025-06-05 23:02:53,-115.1848,36.0471, 927.3,  714, 30.9,  3.2,  3.2, 17, 17, 5.20,138, 2.0
2025-06-05 23:02:54,-115.1848,36.0471, 926.5,  722, 30.8,  3.7,  3.7, 18, 18, 5.38,133, 2.0
2025-06-05 23:02:55,-115.1849,36.0471, 925.7,  730, 30.7,  4.1,  4.1, 18, 18, 5.55,128, 2.0
2025-06-05 23:02:56,-115.1849,36.0471, 925.0,  736, 30.7,  4.4,  4.4, 19, 19, 5.68,125, 2.0
2025-06-05 23:02:57,-115.1849,36.0471, 924.0,  746, 30.6,  4.9,  4.9, 20, 20, 5.88,120, 2.1
2025-06-05 23:02:58,-115.1850,36.0471, 923.2,  754, 30.5,  5.3,  5.3, 20, 20, 6.05,114, 2.3
2025-06-05 23:02:59,-115.1850,36.0471, 922.3,  762, 30.4,  5.3,  5.3, 21, 21, 6.08,108, 2.4
2025-06-05 23:03:00,-115.1850,36.0471, 921.5,  770, 30.3,  5.3,  5.3, 21, 21, 6.08,104, 2.6
2025-06-05 23:03:01,-115.1851,36.0471, 920.7,  778, 30.2,  5.3,  5.3, 21, 21, 6.07, 99, 2.8
2025-06-05 23:03:02,-115.1851,36.0471, 919.9,  786, 30.2,  5.3,  5.3, 21, 21, 6.07, 96, 3.0
2025-06-05 23:03:03,-115.1851,36.0471, 919.0,  794, 30.1,  5.3,  5.3, 21, 21, 6.07, 93, 3.1
2025-06-05 23:03:04,-115.1852,36.0471, 918.2,  802, 30.0,  5.3,  5.3, 21, 21, 6.07, 90, 3.3
2025-06-05 23:03:05,-115.1852,36.0471, 917.4,  810, 29.9,  5.2,  5.2, 21, 21, 6.07, 87, 3.5
2025-06-05 23:03:06,-115.1852,36.0471, 916.6,  818, 29.8,  5.2,  5.2, 21, 21, 6.07, 85, 3.7
2025-06-05 23:03:07,-115.1853,36.0471, 915.8,  826, 29.7,  5.2,  5.2, 21, 21, 6.06, 86, 3.7
2025-06-05 23:03:08,-115.1853,36.0471, 915.0,  833, 29.6,  5.2,  5.2, 21, 21, 6.06, 87, 3.6
2025-06-05 23:03:09,-115.1853,36.0471, 914.2,  840, 29.5,  5.2,  5.2, 21, 21, 6.06, 89, 3.6
2025-06-05 23:03:10,-115.1854,36.0471, 913.5,  848, 29.4,  5.1,  5.1, 21, 21, 6.05, 90, 3.6
2025-06-05 23:03:11,-115.1854,36.0471, 912.7,  855, 29.3,  5.1,  5.1, 22, 22, 6.05, 91, 3.6
2025-06-05 23:03:12,-115.1854,36.0472, 911.9,  863, 29.3,  5.1,  5.1, 22, 22, 6.05, 92, 3.6
2025-06-05 23:03:13,-115.1855,36.0472, 911.1,  871, 29.2,  5.1,  5.1, 22, 22, 6.05, 93, 3.6
2025-06-05 23:03:14,-115.1855,36.0472, 910.3,  878, 29.1,  5.1,  5.1, 22, 22, 6.05, 94, 3.6
2025-06-05 23:03:15,-115.1856,36.0472, 909.6,  886, 29.0,  5.1,  5.1, 22, 22, 6.05, 95, 3.6
2025-06-05 23:03:16,-115.1856,36.0472, 908.8,  894, 28.9,  5.1,  5.1, 22, 22, 6.05, 96, 3.6
2025-06-05 23:03:17,-115.1856,36.0472, 908.1,  900, 28.9,  5.0,  5.0, 22, 22, 6.05, 97, 3.6
2025-06-05 23:03:18,-115.1857,36.0472, 907.2,  909, 28.8,  5.0,  5.0, 22, 22, 6.05, 99, 3.6
2025-06-05 23:03:19,-115.1857,36.0472, 906.4,  917, 28.7,  5.0,  5.0, 22, 22, 6.05,100, 3.7
2025-06-05 23:03:20,-115.1857,36.0472, 905.6,  924, 28.6,  5.0,  5.0, 22, 22, 6.05,100, 3.6
