time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2025-06-18 23:04:03,-115.1848,36.0470, 927.4,  698, 42.2, -5.2, -4.6,  5,  5, 2.80, 30, 2.6
2025-06-18 23:04:04,-115.1848,36.0470, 926.7,  703, 42.0, -6.8, -6.0,  4,  4, 2.48, 46, 4.7
2025-06-18 23:04:05,-115.1849,36.0470, 926.0,  710, 41.9, -8.6, -7.6,  4,  4, 2.16, 46, 4.7
2025-06-18 23:04:06,-115.1849,36.0470, 925.0,  721, 41.6,-11.6,-10.3,  3,  3, 1.70, 46, 4.7
2025-06-18 23:04:07,-115.1849,36.0469, 924.7,  725, 41.5,-12.8,-11.4,  3,  3, 1.55, 46, 4.7
2025-06-18 23:04:08,-115.1850,36.0469, 924.0,  732, 41.4,-15.5,-13.8,  2,  2, 1.24, 46, 4.7
2025-06-18 23:04:09,-115.1850,36.0469, 923.3,  739, 41.2,-18.7,-16.8,  2,  2, 0.95, 46, 4.7
2025-06-18 23:04:10,-115.1851,36.0469, 922.6,  746, 41.1,-23.0,-20.6,  1,  1, 0.66, 48, 4.6
2025-06-18 23:04:11,-115.1851,36.0468, 921.8,  753, 40.9,-23.8,-21.4,  1,  1, 0.61, 51, 4.7
2025-06-18 23:04:12,-115.1852,36.0468, 921.1,  760, 40.8,-23.9,-21.5,  1,  1, 0.60, 53, 4.7
2025-06-18 23:04:13,-115.1852,36.0468, 920.4,  767, 40.6,-24.1,-21.7,  1,  1, 0.59, 56, 4.7
2025-06-18 23:04:14,-115.1853,36.0468, 919.6,  775, 40.5,-24.2,-21.8,  1,  1, 0.59, 58, 4.7
2025-06-18 23:04:15,-115.1853,36.0468, 918.9,  782, 40.4,-24.4,-22.0,  1,  1, 0.58, 60, 4.7
2025-06-18 23:04:16,-115.1854,36.0467, 918.2,  790, 40.2,-24.6,-22.1,  1,  1, 0.57, 63, 4.7
2025-06-18 23:04:17,-115.1854,36.0467, 917.5,  797, 40.1,-24.7,-22.3,  1,  1, 0.56, 65, 4.7
2025-06-18 23:04:18,-115.1855,36.0467, 916.9,  804, 39.9,-24.9,-22.4,  1,  1, 0.55, 68, 4.7
2025-06-18 23:04:19,-115.1855,36.0467, 916.2,  810, 39.8,-25.1,-22.6,  1,  1, 0.55, 67, 4.7
2025-06-18 23:04:20,-115.1856,36.0467, 915.5,  817, 39.7,-25.2,-22.7,  1,  1, 0.54, 67, 4.8
2025-06-18 23:04:21,-115.1856,36.0466, 914.8,  824, 39.5,-25.4,-22.9,  1,  1, 0.53, 67, 4.8
