time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2024-06-06 11:05:54,-115.1847,36.0471, 928.8,  698, 29.8,  3.7,  3.7, 19, 19, 5.38,313, 1.5
2024-06-06 11:05:55,-115.1846,36.0471, 928.2,  704, 30.1,  4.0,  4.0, 19, 19, 5.49,276, 2.8
2024-06-06 11:05:56,-115.1846,36.0471, 927.6,  710, 30.4,  4.2,  4.2, 19, 19, 5.59,276, 2.8
2024-06-06 11:05:57,-115.1846,36.0471, 927.0,  717, 30.7,  4.5,  4.5, 19, 19, 5.70,276, 2.8
2024-06-06 11:05:58,-115.1846,36.0471, 926.3,  722, 31.0,  4.7,  4.7, 19, 19, 5.80,276, 2.8
2024-06-06 11:05:59,-115.1845,36.0471, 925.7,  728, 31.3,  5.0,  5.0, 19, 19, 5.91,276, 2.8
2024-06-06 11:06:00,-115.1845,36.0472, 925.0,  734, 31.7,  5.3,  5.3, 19, 19, 6.05,275, 2.9
2024-06-06 11:06:01,-115.1845,36.0472, 924.4,  740, 31.8,  5.4,  5.4, 19, 19, 6.09,267, 2.9
2024-06-06 11:06:02,-115.1845,36.0472, 924.0,  744, 31.9,  5.4,  5.4, 19, 19, 6.07,262, 2.9
2024-06-06 11:06:03,-115.1844,36.0472, 923.5,  749, 32.0,  5.3,  5.3, 19, 19, 6.05,255, 2.9
2024-06-06 11:06:04,-115.1844,36.0472, 922.9,  755, 32.1,  5.2,  5.2, 19, 19, 6.03,247, 3.0
2024-06-06 11:06:05,-115.1844,36.0472, 922.3,  760, 32.1,  5.2,  5.2, 18, 18, 6.00,239, 3.0
2024-06-06 11:06:06,-115.1843,36.0472, 921.8,  765, 32.2,  5.1,  5.1, 18, 18, 5.98,232, 3.1
2024-06-06 11:06:07,-115.1843,36.0472, 921.3,  771, 32.3,  5.0,  5.0, 18, 18, 5.95,225, 3.1
2024-06-06 11:06:08,-115.1843,36.0473, 920.7,  776, 32.4,  5.0,  5.0, 18, 18, 5.93,219, 3.1
2024-06-06 11:06:09,-115.1843,36.0473, 920.2,  781, 32.5,  4.9,  4.9, 18, 18, 5.90,214, 3.2
2024-06-06 11:06:10,-115.1842,36.0473, 919.7,  786, 32.6,  4.8,  4.8, 18, 18, 5.88,214, 3.2
2024-06-06 11:06:11,-115.1842,36.0473, 919.2,  791, 32.6,  4.7,  4.7, 17, 17, 5.85,215, 3.2
2024-06-06 11:06:12,-115.1842,36.0474, 918.6,  796, 32.7,  4.7,  4.7, 17, 17, 5.82,216, 3.2
2024-06-06 11:06:13,-115.1841,36.0474, 918.1,  801, 32.8,  4.6,  4.6, 17, 17, 5.79,216, 3.3
2024-06-06 11:06:14,-115.1841,36.0474, 917.6,  806, 32.9,  4.5,  4.5, 17, 17, 5.76,217, 3.3
2024-06-06 11:06:15,-115.1841,36.0474, 917.1,  811, 32.9,  4.4,  4.4, 17, 17, 5.74,217, 3.3
2024-06-06 11:06:16,-115.1840,36.0475, 916.6,  816, 32.9,  4.4,  4.4, 17, 17, 5.72,218, 3.3
2024-06-06 11:06:17,-115.1840,36.0475, 916.1,  821, 33.0,  4.3,  4.3, 17, 17, 5.69,219, 3.4
2024-06-06 11:06:18,-115.1840,36.0475, 915.6,  826, 33.0,  4.3,  4.3, 16, 16, 5.67,219, 3.4
2024-06-06 11:06:19,-115.1839,36.0475, 915.2,  830, 33.0,  4.2,  4.2, 16, 16, 5.65,220, 3.4
2024-06-06 11:06:20,-115.1839,36.0476, 914.7,  835, 33.1,  4.1,  4.1, 16, 16, 5.63,220, 3.4
2024-06-06 11:06:21,-115.1839,36.0476, 914.2,  840, 33.1,  4.1,  4.1, 16, 16, 5.61,221, 3.5
2024-06-06 11:06:22,-115.1838,36.0476, 913.8,  844, 33.1,  4.0,  4.0, 16, 16, 5.58,221, 3.5
